created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8
2019-10-09 07:57:05 UTC,3072,26.50000,17.50000,24.90000,39.90000,10.10000,11.80000,15.10000,432.58176
2019-10-09 07:58:05 UTC,3073,26.50000,17.60000,24.90000,40.00000,10.10000,11.80000,15.10000,432.86597
2019-10-09 07:59:05 UTC,3074,26.50000,17.60000,24.90000,40.10000,10.10000,11.80000,15.10000,433.18848
2019-10-09 08:00:05 UTC,3075,26.50000,17.60000,24.90000,40.00000,10.10000,11.90000,15.10000,433.45499
2019-10-09 08:01:05 UTC,3076,26.50000,17.60000,24.90000,40.30000,10.10000,11.90000,15.00000,433.79294
2019-10-09 08:02:05 UTC,3077,26.50000,17.60000,24.90000,40.20000,10.10000,11.90000,15.10000,434.44757
2019-10-09 08:03:05 UTC,3078,26.50000,17.60000,24.90000,40.10000,10.10000,11.90000,15.10000,435.50012
2019-10-09 08:04:05 UTC,3079,26.50000,17.60000,24.90000,40.20000,10.10000,11.90000,15.00000,437.09125
2019-10-09 08:05:06 UTC,3080,26.50000,17.60000,24.90000,40.30000,10.10000,11.90000,15.00000,439.41861
2019-10-09 08:06:05 UTC,3081,26.50000,17.60000,24.90000,40.30000,10.10000,11.90000,15.00000,442.65097
2019-10-09 08:07:05 UTC,3082,26.50000,17.60000,24.90000,40.40000,10.10000,11.90000,15.00000,446.97665
2019-10-09 08:08:05 UTC,3083,26.50000,17.60000,24.90000,40.50000,10.20000,12.00000,14.90000,451.55081
2019-10-09 08:09:05 UTC,3084,26.50000,17.60000,24.90000,40.40000,10.10000,11.90000,15.00000,455.45807
2019-10-09 08:10:05 UTC,3085,26.50000,17.60000,24.90000,40.20000,10.10000,11.90000,15.00000,458.46548
2019-10-09 08:11:05 UTC,3086,26.50000,17.50000,24.90000,40.10000,10.10000,11.80000,15.10000,460.68451
2019-10-09 08:12:05 UTC,3087,26.50000,17.50000,24.90000,40.10000,10.10000,11.80000,15.10000,462.37280
2019-10-09 08:13:05 UTC,3088,26.50000,17.50000,24.90000,40.00000,10.10000,11.80000,15.10000,464.00696
2019-10-09 08:14:05 UTC,3089,26.50000,17.60000,24.90000,40.20000,10.10000,11.90000,15.00000,465.34775
2019-10-09 08:15:05 UTC,3090,26.50000,17.60000,24.90000,40.20000,10.10000,11.90000,15.00000,466.40332
2019-10-09 08:16:05 UTC,3091,26.50000,17.60000,24.90000,40.30000,10.10000,11.90000,15.00000,467.48953
2019-10-09 08:17:05 UTC,3092,26.50000,17.60000,24.90000,40.20000,10.10000,11.90000,15.00000,468.71222
2019-10-09 08:18:05 UTC,3093,26.50000,17.60000,24.90000,40.10000,10.10000,11.90000,15.10000,469.96249
2019-10-09 08:19:05 UTC,3094,26.50000,17.60000,24.90000,40.30000,10.10000,11.90000,15.00000,471.50900
2019-10-09 08:20:05 UTC,3095,26.60000,17.70000,24.90000,40.30000,10.20000,12.00000,15.10000,484.56332
2019-10-09 08:21:05 UTC,3096,26.60000,17.70000,24.90000,40.60000,10.30000,12.10000,15.00000,501.24533
2019-10-09 08:22:05 UTC,3097,26.60000,17.60000,24.90000,40.30000,10.20000,12.00000,15.10000,510.08984
2019-10-09 08:23:05 UTC,3098,26.60000,17.70000,24.90000,40.30000,10.20000,12.00000,15.10000,515.36890
2019-10-09 08:24:05 UTC,3099,26.60000,17.70000,24.90000,40.40000,10.20000,12.00000,15.10000,517.44708
